word,prompt
sunglasses,"clean vector clipart of sunglasses, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
sunspot,"clean vector clipart of sunspot, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
superglue,"clean vector clipart of superglue, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
surprise,"clean vector clipart of surprise, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
suspect,"clean vector clipart of suspect, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
suspenders,"clean vector clipart of suspenders, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
swaddle,"clean vector clipart of swaddle, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
swamp,"clean vector clipart of swamp, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
swap,"clean vector clipart of swap, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
swine,"clean vector clipart of swine, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
swivel,"clean vector clipart of swivel, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
tablet,"clean vector clipart of tablet, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
task,"clean vector clipart of task, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
teaspoon,"clean vector clipart of teaspoon, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
telegram,"clean vector clipart of telegram, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
telescope,"clean vector clipart of telescope, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
thirsty,"clean vector clipart of thirsty, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
toaster,"clean vector clipart of toaster, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
tourism,"clean vector clipart of tourism, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
translator,"clean vector clipart of translator, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
triplet,"clean vector clipart of triplet, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
trust,"clean vector clipart of trust, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
tusk,"clean vector clipart of tusk, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
ugly,"clean vector clipart of ugly, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
umbrella,"clean vector clipart of umbrella, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
underground,"clean vector clipart of underground, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
useless,"clean vector clipart of useless, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
vandalism,"clean vector clipart of vandalism, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
vibrate,"clean vector clipart of vibrate, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
voiceless,"clean vector clipart of voiceless, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
wasp,"clean vector clipart of wasp, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
West,"clean vector clipart of West, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
whisk,"clean vector clipart of whisk, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
whiskers,"clean vector clipart of whiskers, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
whistling,"clean vector clipart of whistling, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
wisp,"clean vector clipart of wisp, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
wrist,"clean vector clipart of wrist, centered, isolated, plain white background, minimal style, bold outline, no text, square composition"
